year,province,prc,dmu,Y,P,L,K,H,oe,pe,se
1999,East Nusa Tenggara,NT,24,7558,3858,1740,17546,5.929,0.36,1,0.36
1999,Maluku,MA,25,4854,1738,964,17957,7.405,0.226,0.307,0.735
1999,Papua,PA,26,21869,2047,989,25553,5.58,0.787,1,0.787
2000,Aceh,AC,1,35883,3929,1595,33199,8.049,1,1,1
2000,North Sumatra,SU,2,68465,11642,5139,112168,8.204,0.777,0.778,0.999
2000,Riau,RI,3,94758,4948,1931,188940,7.614,1,1,1
2000,West Sumatra,SB,4,22890,4249,1876,45463,7.626,0.521,0.535,0.972
2000,Jambi,JA,5,9569,2407,1128,21479,7.02,0.412,0.503,0.819
2000,Bengkulu,BE,6,4872,1564,763,9365,6.904,0.481,1,0.481
2000,South Sumatra,SS,7,46870,7768,3574,113744,6.83,0.569,0.625,0.91
2000,Lampung,LA,8,23265,6731,3177,44499,6.897,0.552,0.596,0.925
2000,West Java,JB,9,241150,43596,18709,468326,7.058,1,1,1
2000,Jakarta,JK,10,228018,8361,4057,938334,9.935,1,1,1
2000,Central Java,JT,11,114701,31223,15413,260642,6.21,0.792,0.861,0.92
2000,Yogyakarta,YO,12,13481,3121,1622,34002,7.529,0.378,0.393,0.961
2000,East Java,JI,13,201586,34766,17636,455641,6.193,0.953,1,0.953
2000,Bali,BA,14,17263,3150,1767,31347,7.215,0.518,0.559,0.927
2000,West Kalimantan,KB,15,19319,4016,1850,50286,6.298,0.426,0.48,0.887
2000,Central Kalimantan,KT,16,10981,1855,842,34839,7.714,0.341,0.519,0.657
2000,East Kalimantan,KI,17,81338,2452,1134,96606,8.239,1,1,1
2000,South Kalimantan,KS,18,17073,2984,1556,22876,6.425,0.691,0.922,0.749
2000,North Sulawesi,SA,19,12037,2820,1218,15405,7.996,0.723,0.946,0.765
2000,Central Sulawesi,ST,20,8649,2176,1020,18392,7.417,0.435,0.547,0.795
2000,South Sulawesi,SN,21,30763,8051,3328,49592,6.97,0.67,0.717,0.935
2000,Southeast Sulawesi,SG,22,5775,1820,781,10677,7.156,0.5,0.932,0.537
2000,West Nusa Tenggara,NB,23,12182,4009,1830,31612,5.656,0.392,0.492,0.796
2000,East Nusa Tenggara,NT,24,7851,3823,1797,18566,5.949,0.391,1,0.391
2000,Maluku,MA,25,4649,1917,868,17268,7.56,0.249,0.364,0.685
2000,Papua,PA,26,22283,2214,1039,29063,5.493,0.767,1,0.767
2001,Aceh,AC,1,32565,3985,1648,34084,8.197,1,1,1
2001,North Sumatra,SU,2,71147,11792,5309,115752,8.283,0.789,0.797,0.99
2001,Riau,RI,3,95442,5161,1995,198490,7.671,0.975,1,0.975
2001,West Sumatra,SB,4,23727,4273,1938,47787,7.685,0.555,0.571,0.973
2001,Jambi,JA,5,10206,2450,1165,21966,7.198,0.486,0.566,0.859
2001,Bengkulu,BE,6,5068,1609,788,9341,6.995,0.568,1,0.568
2001,South Sumatra,SS,7,47799,7961,3692,116894,6.862,0.568,0.623,0.911
2001,Lampung,LA,8,24126,6809,3282,46995,6.873,0.582,0.622,0.934
2001,West Java,JB,9,250404,44533,19327,482456,7.154,1,1,1
2001,Jakarta,JK,10,237930,8372,4191,962456,10.097,1,1,1
2001,Central Java,JT,11,118816,31504,15922,263805,6.334,0.803,0.845,0.949
2001,Yogyakarta,YO,12,14056,3142,1676,35641,7.416,0.424,0.445,0.953
2001,East Java,JI,13,209110,34996,18219,469638,6.356,0.94,1,0.94
2001,Bali,BA,14,17880,3190,1826,32167,7.403,0.587,0.625,0.938
2001,West Kalimantan,KB,15,19838,4106,1911,53561,6.408,0.43,0.467,0.92
2001,Central Kalimantan,KT,16,11305,1910,870,37419,7.75,0.346,0.51,0.679
2001,East Kalimantan,KI,17,85209,2520,1172,102125,8.533,1,1,1
2001,South Kalimantan,KS,18,17702,3026,1608,24406,6.54,0.759,0.947,0.801
2001,North Sulawesi,SA,19,12550,2860,1259,16741,7.942,0.785,0.944,0.831
2001,Central Sulawesi,ST,20,9090,2231,1054,19247,7.365,0.494,0.59,0.838
2001,South Sulawesi,SN,21,32335,8167,3438,52888,6.787,0.704,0.752,0.936
2001,Southeast Sulawesi,SG,22,6064,1877,807,11564,6.968,0.549,0.87,0.631
2001,West Nusa Tenggara,NB,23,13074,4080,1891,33408,5.813,0.433,0.512,0.845
2001,East Nusa Tenggara,NT,24,8222,3884,1856,19644,5.968,0.438,1,0.438
2001,Maluku,MA,25,4679,1897,897,16600,7.742,0.295,0.391,0.755
