id,country,year,ehc,sur,fh,edu,lea
117,Mozambique,2016,4,34,45,8,59
118,Myanmar,1990,3,34,40,6,68
118,Myanmar,2016,8,40,56,9,72
119,Namibia,1990,4,36,51,8,51
119,Namibia,2016,6,37,51,11,57
120,Nepal,1990,2,34,37,5,65
120,Nepal,2016,7,40,47,9,69
121,Netherlands,1990,23,43,88,12,89
121,Netherlands,2016,27,44,90,14,89
122,New Zealand,1990,19,42,84,11,85
122,New Zealand,2016,22,43,86,13,86
123,Nicaragua,1990,7,39,70,7,66
123,Nicaragua,2016,11,42,73,9,68
124,Niger,1990,1,27,37,2,53
124,Niger,2016,2,35,38,4,52
125,Nigeria,1990,3,31,37,8,64
125,Nigeria,2016,5,36,45,9,66
126,North Korea,1990,8,41,50,9,78
126,North Korea,2016,12,40,57,11,83
127,Northern Mariana Islands,1990,15,42,71,12,73
127,Northern Mariana Islands,2016,18,42,73,14,76
128,Norway,1990,21,43,88,12,83
128,Norway,2016,25,44,90,13,86
129,Oman,1990,6,40,54,8,67
129,Oman,2016,14,43,68,12,74
130,Pakistan,1990,3,36,43,5,66
130,Pakistan,2016,6,39,45,9,68
131,Palestine,1990,10,41,65,10,68
131,Palestine,2016,15,42,71,14,69
132,Panama,1990,11,41,74,10,68
132,Panama,2016,15,42,75,12,69
133,Papua New Guinea,1990,2,33,51,4,71
133,Papua New Guinea,2016,4,36,47,6,73
134,Paraguay,1990,9,41,73,8,64
134,Paraguay,2016,14,42,78,11,67
135,Peru,1990,9,38,65,10,66
135,Peru,2016,13,43,71,11,70
136,Philippines,1990,7,38,52,10,63
136,Philippines,2016,10,40,58,12,64
137,Poland,1990,17,41,74,12,86
137,Poland,2016,23,43,78,14,87
138,Portugal,1990,15,42,83,9,82
138,Portugal,2016,20,43,86,11,86
139,Puerto Rico,1990,16,41,77,13,71
139,Puerto Rico,2016,18,43,80,13,73
140,Qatar,1990,10,42,73,10,64
140,Qatar,2016,15,43,77,11,70
141,Romania,1990,15,40,73,11,80
141,Romania,2016,18,42,73,13,79
142,Russia,1990,15,40,72,11,86
142,Russia,2016,19,40,78,12,90
143,Rwanda,1990,2,29,46,4,61
143,Rwanda,2016,6,39,56,8,62
144,Saint Lucia,1990,7,41,69,7,70
144,Saint Lucia,2016,14,42,79,11,72
145,Saint Vincent and the Grenadines,1990,7,40,69,6,68
145,Saint Vincent and the Grenadines,2016,11,41,74,9,71
146,Samoa,1990,11,40,71,9,76
146,Samoa,2016,15,41,75,11,78
147,Sao Tome and Principe,1990,4,36,51,7,62
147,Sao Tome and Principe,2016,7,40,57,9,66
148,Saudi Arabia,1990,7,40,63,8,63
148,Saudi Arabia,2016,17,43,73,14,68
149,Senegal,1990,2,33,46,3,72
149,Senegal,2016,5,38,50,6,70
150,Serbia,1990,17,42,76,12,81
150,Serbia,2016,20,43,76,13,82
151,Seychelles,1990,10,40,74,10,67
151,Seychelles,2016,14,41,74,11,72
152,Sierra Leone,1990,1,29,39,3,61
152,Sierra Leone,2016,5,34,46,8,65
153,Singapore,1990,17,43,78,10,94
153,Singapore,2016,24,44,82,12,98
154,Slovakia,1990,18,41,76,12,87
154,Slovakia,2016,21,43,79,13,85
155,Slovenia,1990,18,42,77,12,86
155,Slovenia,2016,23,44,79,14,86
156,Solomon Islands,1990,4,36,51,5,72
156,Solomon Islands,2016,7,37,61,8,75
157,Somalia,1990,1,30,44,3,59
157,Somalia,2016,4,34,43,7,63
158,South Africa,1990,6,36,60,10,53
158,South Africa,2016,7,35,54,12,58
159,South Korea,1990,20,41,80,12,93
159,South Korea,2016,26,43,84,13,96
160,South Sudan,1990,1,30,34,2,58
160,South Sudan,2016,2,35,40,4,60
161,Spain,1990,18,43,83,10,85
161,Spain,2016,20,44,85,11,86
162,Sri Lanka,1990,7,40,49,9,70
162,Sri Lanka,2016,13,42,59,13,75
163,Sudan,1990,3,34,39,6,62
163,Sudan,2016,7,39,46,10,67
164,Suriname,1990,8,39,66,8,68
164,Suriname,2016,11,40,72,10,70
165,Swaziland,1990,5,37,59,8,54
165,Swaziland,2016,5,33,50,10,56
166,Sweden,1990,22,43,87,12,87
166,Sweden,2016,24,44,89,13,87
167,Switzerland,1990,20,43,86,11,88
167,Switzerland,2016,25,44,87,13,88
168,Syria,1990,7,40,53,9,64
168,Syria,2016,12,37,62,13,69
169,Taiwan,1990,21,42,76,13,93
169,Taiwan,2016,26,43,82,14,95
170,Tajikistan,1990,10,37,56,11,76
170,Tajikistan,2016,11,40,59,11,76
171,Tanzania,1990,2,32,40,6,58
171,Tanzania,2016,6,37,49,9,64
172,Thailand,1990,8,40,57,9,76
172,Thailand,2016,16,42,67,13,77
173,The Bahamas,1990,12,40,76,10,72
173,The Bahamas,2016,14,41,77,11,73
174,The Gambia,1990,3,35,44,5,62
174,The Gambia,2016,5,38,45,9,65
175,Timor Leste,1990,4,33,39,7,69
175,Timor Leste,2016,8,41,47,11,72
176,Togo,1990,3,33,42,5,63
176,Togo,2016,6,36,49,9,64
177,Tonga,1990,11,39,66,10,76
177,Tonga,2016,14,40,71,11,77
178,Trinidad and Tobago,1990,10,40,77,8,75
178,Trinidad and Tobago,2016,12,41,80,9,76
179,Tunisia,1990,8,40,63,9,64
179,Tunisia,2016,15,43,75,13,68
180,Turkey,1990,8,39,65,8,73
180,Turkey,2016,20,43,75,14,79
181,Turkmenistan,1990,10,37,63,11,75
181,Turkmenistan,2016,13,40,72,10,77
182,UK,1990,19,43,85,11,87
182,UK,2016,22,44,87,12,88
183,USA,1990,22,42,87,13,87
183,USA,2016,23,43,88,12,89
184,Uganda,1990,2,28,37,6,55
